Generation  0
Individual id:  96  | Accuracy:  0.3333333333333333  | Hinge Loss:  16.359165024342214
Individual id:  97  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.892242362208165
Individual id:  98  | Accuracy:  0.0  | Hinge Loss:  7.744117965044608
Individual id:  99  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.147984516273007
Metrics: 
Average accuracy of the population:  0.3497999999999999
Average loss of the population:  6.786968400818011
---------------------------------------------------
Generation  3
Individual id:  0  | Accuracy:  0.6866666666666666  | Hinge Loss:  0.7744099684666512
Individual id:  1  | Accuracy:  0.4533333333333333  | Hinge Loss:  1.4087698574400793
Individual id:  2  | Accuracy:  0.4666666666666667  | Hinge Loss:  1.619214899006909
Individual id:  3  | Accuracy:  0.3333333333333333  | Hinge Loss:  1.6979262918858402
Individual id:  4  | Accuracy:  0.3333333333333333  | Hinge Loss:  1.812721708817955
Individual id:  5  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.015845315379167
Individual id:  6  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.116217488975481
Individual id:  7  | Accuracy:  0.5866666666666667  | Hinge Loss:  2.214236229566259
Individual id:  8  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.4452031024856296
Individual id:  9  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.6281943558974117
Individual id:  10  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.8291608441868332
Individual id:  11  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.962950099640534
Individual id:  12  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.995573904780505
Individual id:  13  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.092203334171781
Individual id:  14  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.21851102870658
Individual id:  15  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.289666738099945
Individual id:  16  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.3833255736708376
Individual id:  17  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.6465939688238693
Individual id:  18  | Accuracy:  0.02666666666666667  | Hinge Loss:  3.682655970946874
Individual id:  19  | Accuracy:  0.32  | Hinge Loss:  3.834621832094681
Individual id:  20  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.866320990669099
Individual id:  21  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.892242362208165
